,spin,model,strength,polar angle,azimuthal angle
177,0.75,point,1e-07,0.6283185307179586,0
178,0.9,point,1e-07,0.6283185307179586,0
179,0.99,point,1e-07,0.6283185307179586,0
180,0.001,point,1e-06,0.6283185307179586,0
181,0.1,point,1e-06,0.6283185307179586,0
182,0.2,point,1e-06,0.6283185307179586,0
183,0.3,point,1e-06,0.6283185307179586,0
184,0.4,point,1e-06,0.6283185307179586,0
185,0.5,point,1e-06,0.6283185307179586,0
186,0.75,point,1e-06,0.6283185307179586,0
187,0.9,point,1e-06,0.6283185307179586,0
188,0.99,point,1e-06,0.6283185307179586,0
189,0.001,point,1e-12,0.9424777960769379,0
190,0.1,point,1e-12,0.9424777960769379,0
191,0.2,point,1e-12,0.9424777960769379,0
192,0.3,point,1e-12,0.9424777960769379,0
193,0.4,point,1e-12,0.9424777960769379,0
194,0.5,point,1e-12,0.9424777960769379,0
195,0.75,point,1e-12,0.9424777960769379,0
196,0.9,point,1e-12,0.9424777960769379,0
197,0.99,point,1e-12,0.9424777960769379,0
198,0.001,point,1e-11,0.9424777960769379,0
199,0.1,point,1e-11,0.9424777960769379,0
200,0.2,point,1e-11,0.9424777960769379,0
201,0.3,point,1e-11,0.9424777960769379,0
202,0.4,point,1e-11,0.9424777960769379,0
203,0.5,point,1e-11,0.9424777960769379,0
204,0.75,point,1e-11,0.9424777960769379,0
205,0.9,point,1e-11,0.9424777960769379,0
206,0.99,point,1e-11,0.9424777960769379,0
207,0.001,point,1e-10,0.9424777960769379,0
208,0.1,point,1e-10,0.9424777960769379,0
209,0.2,point,1e-10,0.9424777960769379,0
210,0.3,point,1e-10,0.9424777960769379,0
211,0.4,point,1e-10,0.9424777960769379,0
212,0.5,point,1e-10,0.9424777960769379,0
213,0.75,point,1e-10,0.9424777960769379,0
214,0.9,point,1e-10,0.9424777960769379,0
215,0.99,point,1e-10,0.9424777960769379,0
216,0.001,point,1e-09,0.9424777960769379,0
217,0.1,point,1e-09,0.9424777960769379,0
218,0.2,point,1e-09,0.9424777960769379,0
219,0.3,point,1e-09,0.9424777960769379,0
220,0.4,point,1e-09,0.9424777960769379,0
221,0.5,point,1e-09,0.9424777960769379,0
222,0.75,point,1e-09,0.9424777960769379,0
223,0.9,point,1e-09,0.9424777960769379,0
224,0.99,point,1e-09,0.9424777960769379,0
225,0.001,point,1e-08,0.9424777960769379,0
226,0.1,point,1e-08,0.9424777960769379,0
227,0.2,point,1e-08,0.9424777960769379,0
228,0.3,point,1e-08,0.9424777960769379,0
229,0.4,point,1e-08,0.9424777960769379,0
230,0.5,point,1e-08,0.9424777960769379,0
231,0.75,point,1e-08,0.9424777960769379,0
232,0.9,point,1e-08,0.9424777960769379,0
233,0.99,point,1e-08,0.9424777960769379,0
234,0.001,point,1e-07,0.9424777960769379,0
235,0.1,point,1e-07,0.9424777960769379,0
236,0.2,point,1e-07,0.9424777960769379,0
237,0.3,point,1e-07,0.9424777960769379,0
238,0.4,point,1e-07,0.9424777960769379,0
239,0.5,point,1e-07,0.9424777960769379,0
240,0.75,point,1e-07,0.9424777960769379,0
241,0.9,point,1e-07,0.9424777960769379,0
242,0.99,point,1e-07,0.9424777960769379,0
243,0.001,point,1e-06,0.9424777960769379,0
244,0.1,point,1e-06,0.9424777960769379,0
245,0.2,point,1e-06,0.9424777960769379,0
246,0.3,point,1e-06,0.9424777960769379,0
247,0.4,point,1e-06,0.9424777960769379,0
248,0.5,point,1e-06,0.9424777960769379,0
249,0.75,point,1e-06,0.9424777960769379,0
250,0.9,point,1e-06,0.9424777960769379,0
251,0.99,point,1e-06,0.9424777960769379,0
252,0.001,point,1e-12,1.2566370614359172,0
253,0.1,point,1e-12,1.2566370614359172,0
254,0.2,point,1e-12,1.2566370614359172,0
255,0.3,point,1e-12,1.2566370614359172,0
256,0.4,point,1e-12,1.2566370614359172,0
257,0.5,point,1e-12,1.2566370614359172,0
258,0.75,point,1e-12,1.2566370614359172,0
259,0.9,point,1e-12,1.2566370614359172,0
260,0.99,point,1e-12,1.2566370614359172,0
261,0.001,point,1e-11,1.2566370614359172,0
262,0.1,point,1e-11,1.2566370614359172,0
263,0.2,point,1e-11,1.2566370614359172,0
264,0.3,point,1e-11,1.2566370614359172,0
265,0.4,point,1e-11,1.2566370614359172,0
266,0.5,point,1e-11,1.2566370614359172,0
267,0.75,point,1e-11,1.2566370614359172,0
268,0.9,point,1e-11,1.2566370614359172,0
269,0.99,point,1e-11,1.2566370614359172,0
270,0.001,point,1e-10,1.2566370614359172,0
271,0.1,point,1e-10,1.2566370614359172,0
272,0.2,point,1e-10,1.2566370614359172,0
273,0.3,point,1e-10,1.2566370614359172,0
274,0.4,point,1e-10,1.2566370614359172,0
275,0.5,point,1e-10,1.2566370614359172,0
276,0.75,point,1e-10,1.2566370614359172,0
277,0.9,point,1e-10,1.2566370614359172,0
